10.55.173.193 cjy9-sm-5gdmc-1301_signet
10.4.161.225 cjy9-sm-5gdmc-1301_cgnat_inside
10.55.185.193 chy9-sm-5gdmc-1201_s4s11_c_if
10.55.185.194 chy9-sm-5gdmc-1201_sgw_s5s8_c_if
10.55.185.195 chy9-sm-5gdmc-1201_sx_a_cp_if
10.55.185.196 chy9-sm-5gdmc-1201_s5s8_c
10.55.185.197 chy9-sm-5gdmc-1201_sxb_if
10.55.185.201 chy9-sm-5gdmc-1201_sbi_if
10.55.185.65 chy9-pcg-5gdmc-2201
10.55.124.28 chy9-pcg-5gdmc-2101
10.55.126.87 woy9-pcg-5gdmc-2101
10.55.188.102 zsy9-pcg-5gdmc-2101
10.55.185.192 chy9-sm-5gdmc-1201_vpngw_tunnel_ip
10.55.185.225 chy9-sm-5gdmc-1201_signet
10.3.76.33 chy9-sm-5gdmc-1201_cgnat_inside
10.55.116.1 cjy9-sm-5gdmc-1401_s4s11_c_if
10.55.116.2 cjy9-sm-5gdmc-1401_sgw_s5s8_c_if
